CG3338,CG3338-PA-1377,19,0
BCL7-like,BCL7-like-PA-123,1,8
HLHm3,HLHm3-PA-142,0,5
mop,mop-PA-4947,2,0
SA,SA-PA-1264,2,1
CG3045,CG3045-PA-1362,0,15
CG32795,CG32795-PA-942,29,15
Aats-phe,Aats-phe-PA-715,2,0
CG10672,CG10672-PA-382,11,9
fry,fry-PB-9289,3,3
CG34383,CG34383-PB-550,1,0
GlyP,GlyP-PA-1686,16,19
CG11619,CG11619-PA-1011,2,0
tan,tan-PA-97,1,0
Syx13,Syx13-PA-141,0,10
CG17211,CG17211-PA-678,1,0
CG8494,CG8494-PA-2034,2,0
CG8494,CG8494-PA-2039,0,21
gek,gek-PA-4012,0,3
CG31638,CG31638-PA-1071,13,0
alpha4GT1,alpha4GT1-PA-867,10,0
l(2)37Bb,l(2)37Bb-PA-1518,0,33
CG31205,CG31205-PB-584,7,0
Clect27,Clect27-PA-476,0,3
vir,vir-PA-5325,68,0
CG5463,CG5463-PA-1480,3,0
CG6308,CG6308-PA-560,96,0
Fak56D,Fak56D-PA-3072,8,4
Esyt2,Esyt2-PA-1944,0,2
CG3065,CG3065-PA-723,4,0
C15,C15-PA-25,0,1
CG4238,CG4238-PD-639,0,1
CG7394,CG7394-PA-33,8,0
CG12375,CG12375-PA-459,0,4
Hrs,Hrs-PA-717,0,1
CG9596,CG9596-PB-1185,4,5
CG4389,CG4389-PA-2278,6,25
bbx,bbx-PB-1707,0,1
CG31759,CG31759-PC-1654,9,10
dom,dom-PA-4986,28,1
CG31918,CG31918-PA-453,0,26
CG18437,CG18437-PB-2073,0,1
PCID2,PCID2-PA-849,5,0
CG3262,CG3262-PD-258,4,0
CG2202,CG2202-PA-1558,3,0
okr,okr-PA-1716,14,11
CG15011,CG15011-PA-989,2,0
Tsp42Ei,Tsp42Ei-PA-600,0,8
CG4866,CG4866-PA-252,4,1
CG31370,CG31370-PB-742,0,5
Ranbp11,Ranbp11-PA-1703,4,0
Aats-cys,Aats-cys-PA-1486,17,0
CG14964,CG14964-PB-1762,3,0
CG42669,CG42669-PE-3639,40,8
klu,klu-PA-2307,2,0
Nup107,Nup107-PA-1335,4,4
CG31029,CG31029-PA-2702,1,0
CAH2,CAH2-PA-879,13,0
Dip-C,Dip-C-PA-1446,0,19
CG1399,CG1399-PB-2124,0,1
twi,twi-PA-623,0,2
CG6129,CG6129-PD-2763,54,0
Actr13E,Actr13E-PA-1181,3,0
CG3500,CG3500-PA-379,5,0
mRpL32,mRpL32-PA-440,0,8
CG9515,CG9515-PA-324,10,11
CG1578,CG1578-PA-1981,0,41
CG34391,CG34391-PB-355,1,1
vito,vito-PA-435,111,93
CG32533,CG32533-PA-2751,49,0
CG13792,CG13792-PA-2028,2,0
Sep2,Sep2-PA-450,0,2
aft,aft-PA-2037,41,47
CG15634,CG15634-PA-197,8,0
CG15828,CG15828-PC-2715,0,1
Smyd4,Smyd4-PA-1827,4,0
CG9231,CG9231-PA-30,13,0
Catsup,Catsup-PA-728,2,0
CG33465,CG33465-PC-100,17,0
CG3280,CG3280-PD-5923,1,0
lox,lox-PA-518,3,0
Try29F,Try29F-PC-612,3,4
CG14322,CG14322-PA-3750,5,13
CG10413,CG10413-PA-2518,2,5
CG9328,CG9328-PA-328,1,0
CG12539,CG12539-PA-1695,2,0
rtv,rtv-PA-408,316,0
CG7759,CG7759-PA-887,2,0
CG8207,CG8207-PA-741,36,25
hpo,hpo-PA-912,3,0
CG3967,CG3967-PA-1264,0,5
CG4282,CG4282-PA-900,1,0
CG33138,CG33138-PA-1713,40,18
mtSSB,mtSSB-PA-18,7,17
Obp99a,Obp99a-PA-75,770,359
Ugt,Ugt-PA-3867,4,4
Tis11,Tis11-PA-1069,14,9
Rip11,Rip11-PA-1925,4,1
RhoGEF4,RhoGEF4-PA-1751,2,0
zip,zip-PA-4185,3,5
CG6225,CG6225-PA-435,9,0
Aats-glupro,Aats-glupro-PA-1413,1,3
CG32699,CG32699-PA-381,3,0
CG5745,CG5745-PA-1495,0,1
CG13138,CG13138-PA-700,0,1
CG9548,CG9548-PA-116,327,269
CG4407,CG4407-PA-453,2,0
CG8486,CG8486-PE-3932,1,0
MED16,MED16-PA-720,0,1
mbc,mbc-PA-5437,0,1
Taf11,Taf11-PA-391,8,0
CG6361,CG6361-PB-832,0,3
sls,sls-PA-13032,0,1
dbr,dbr-PB-2994,13,42
CG13204,CG13204-PA-1785,44,33
CG34104,CG34104-PA-253,0,3
CG6108,CG6108-PA-2096,2,0
Cpr11A,Cpr11A-PA-168,4,0
La,La-PA-1062,7,2
Pka-R1,Pka-R1-PAA-441,0,5
CG34408,CG34408-PA-2890,0,1
Pdsw,Pdsw-PA-436,0,116
Brd8,Brd8-PA-1002,2,0
TppII,TppII-PA-2199,12,0
cno,cno-PC-3886,0,1
CG9581,CG9581-PA-550,1,0
Psc,Psc-PA-4561,0,1
CG43164,CG43164-PC-793,11,0
msb1l,msb1l-PA-52,0,3
CG7414,CG7414-PA-1632,0,170
lectin-28C,lectin-28C-PB-695,9,3
enok,enok-PA-4045,0,2
DOR,DOR-PC-12,0,31
CG3939,CG3939-PA-232,0,2
CG5037,CG5037-PA-291,10,16
CG15609,CG15609-PB-865,1,0
CG10289,CG10289-PA-2221,0,3
CG18213,CG18213-PB-2409,30,16
ttm50,ttm50-PA-598,1,0
milt,milt-PA-2435,0,45
CG42691,CG42691-PA-159,0,1
ppk19,ppk19-PA-1332,1,0
CG5177,CG5177-PA-207,21,20
CG30263,CG30263-PB-3853,1,0
scramb1,scramb1-PA-777,3,0
blos2,blos2-PA-261,12,0
CG5325,CG5325-PA-270,0,1
sim,sim-PB-1180,1,0
retn,retn-PA-925,0,1
CG8270,CG8270-PB-175,0,3
inx3,inx3-PA-378,7,9
CG11590,CG11590-PA-387,245,0
Sse,Sse-PA-1871,0,12
CG14215,CG14215-PA-3874,4,12
Bka,Bka-PA-537,24,32
sxc,sxc-PA-3141,0,1
mib1,mib1-PA-2959,1,1
Msh6,Msh6-PA-3086,1,21
CG5084,CG5084-PA-105,0,1
CG3500,CG3500-PA-232,0,6
Droj2,Droj2-PA-890,9,0
CG5626,CG5626-PA-535,42,0
CG30389,CG30389-PA-2466,1,0
CG1273,CG1273-PB-1798,1,0
Pi3K59F,Pi3K59F-PA-2349,0,9
RluA-2,RluA-2-PA-127,0,4
D19B,D19B-PA-1210,8,0
Rme-8,Rme-8-PA-6783,2,0
CG13185,CG13185-PB-9612,0,4
Est-P,Est-P-PA-232,2,2
Ir68a,Ir68a-PA-422,0,1
CG6791,CG6791-PB-3312,66,99
Cnx99A,Cnx99A-PA-1305,87,0
CG32202,CG32202-PA-139,12,1
CG7627,CG7627-PA-2124,7,0
DNApol-epsilon,DNApol-epsilon-PA-6048,15,0
CG7137,CG7137-PA-921,2,4
mys,mys-PA-2284,97,40
CG30089,CG30089-PA-2280,9,2
