CG6108,CG6108-PA-2096,1,0
CG3338,CG3338-PA-1377,17,0
CG10011,CG10011-PA-1595,0,1
CG11703,CG11703-PA-339,1,0
BCL7-like,BCL7-like-PA-123,1,10
HLHm3,HLHm3-PA-142,0,5
mop,mop-PA-4947,3,0
SA,SA-PA-1264,3,3
CG3045,CG3045-PA-1362,0,32
CG32795,CG32795-PA-942,23,22
fry,fry-PB-9289,5,2
GlyP,GlyP-PA-1686,16,12
tan,tan-PA-97,1,0
Syx13,Syx13-PA-141,0,5
CG8494,CG8494-PA-2034,2,0
CG8494,CG8494-PA-2039,0,22
gek,gek-PA-4012,0,3
CG31638,CG31638-PA-1071,6,0
alpha4GT1,alpha4GT1-PA-867,10,0
l(2)37Bb,l(2)37Bb-PA-1518,0,38
Pk34A,Pk34A-PA-737,1,0
CG31205,CG31205-PB-584,1,0
mTTF,mTTF-PA-46,0,1
ATPsyn-b,ATPsyn-b-PA-612,494,625
vir,vir-PA-5325,88,0
CG5463,CG5463-PA-1480,2,0
Fak56D,Fak56D-PA-3072,10,5
Esyt2,Esyt2-PA-1944,0,1
CG3065,CG3065-PA-723,7,0
CG4238,CG4238-PD-639,0,3
CG7394,CG7394-PA-33,8,0
CG12375,CG12375-PA-459,0,3
Hrs,Hrs-PA-717,0,2
CG9596,CG9596-PB-1185,1,4
CG4389,CG4389-PA-2278,11,16
bbx,bbx-PB-1707,0,3
CG31759,CG31759-PC-1654,11,12
dom,dom-PA-4986,25,3
CG31918,CG31918-PA-453,0,34
PCID2,PCID2-PA-849,2,0
CG3262,CG3262-PD-258,2,0
CG2202,CG2202-PA-1558,3,3
CG15011,CG15011-PA-989,4,2
CG18011,CG18011-PA-2386,0,2
Tsp42Ei,Tsp42Ei-PA-600,0,3
CG4866,CG4866-PA-252,5,6
Ranbp11,Ranbp11-PA-1703,2,0
Aats-cys,Aats-cys-PA-1486,10,0
CG14964,CG14964-PB-1762,1,0
CG42669,CG42669-PE-3639,29,10
imd,imd-PA-774,87,43
klu,klu-PA-2307,3,0
Nup107,Nup107-PA-1335,10,9
CG10638,CG10638-PA-89,2,21
CAH2,CAH2-PA-879,8,1
Dip-C,Dip-C-PA-1446,0,20
twi,twi-PA-623,0,1
CG6129,CG6129-PD-2763,34,0
CG3500,CG3500-PA-379,8,0
ana1,ana1-PA-5004,0,25
mRpL32,mRpL32-PA-440,0,2
CG9515,CG9515-PA-324,8,7
CG1578,CG1578-PA-1981,0,40
CG34391,CG34391-PB-355,0,1
vito,vito-PA-435,98,77
CG32533,CG32533-PA-2751,66,0
CG13792,CG13792-PA-2028,6,0
